programs,slos,program,date,direct,indirect
Bilingual Program,Multiple Subjects,44000,1992.01,1.38,1.98
Bilingual Program,Multiple Subjects,44000,1992.02,2.84,2.15
Bilingual Program,Multiple Subjects,44000,1992.03,3.88,3.54
Bilingual Program,Multiple Subjects,44000,1992.04,2.64,1.28
Bilingual Program,Multiple Subjects,44000,1992.05,2.16,3.1
Bilingual Program,Multiple Subjects,44000,1992.06,2.39,1.4
Bilingual Program,Multiple Subjects,44000,1992.07,2.14,2.62
Bilingual Program,Multiple Subjects,44000,1992.08,1.81,3.66
Bilingual Program,Multiple Subjects,44000,1992.09,1.4,2.19
Bilingual Program,Multiple Subjects,44000,1992.11,2.53,1.21
Bilingual Program,Multiple Subjects,44000,1992.12,1.15,2.33
Bilingual Program,Multiple Subjects,44000,1993.01,3.16,2.14
Bilingual Program,Multiple Subjects,44000,1993.02,2.51,2.85
Bilingual Program,Multiple Subjects,44000,1993.03,3.21,1.37
Bilingual Program,Multiple Subjects,44000,1993.04,3.94,3.76
Bilingual Program,Multiple Subjects,44000,1993.05,1.04,1.84
Bilingual Program,Multiple Subjects,44000,1993.06,3.02,2.09
Bilingual Program,Multiple Subjects,44000,1993.07,2.74,1.92
Bilingual Program,Multiple Subjects,44000,1993.08,1.72,2.58
Bilingual Program,Multiple Subjects,44000,1993.09,3.07,2.69
Bilingual Program,Multiple Subjects,44000,1993.11,3.33,3.18
Bilingual Program,Multiple Subjects,44000,1993.12,3.16,3.02
Bilingual Program,Multiple Subjects,44000,1994.01,1.73,3.62
Bilingual Program,Multiple Subjects,44000,1994.02,1.91,3.58
Bilingual Program,Multiple Subjects,44000,1994.03,1.56,2.4
Bilingual Program,Multiple Subjects,44000,1994.04,3.66,3.07
Bilingual Program,Multiple Subjects,44000,1994.05,3.43,1.56
Bilingual Program,Multiple Subjects,44000,1994.06,1.97,3.54
Bilingual Program,Multiple Subjects,44000,1994.07,1.74,3.97
Bilingual Program,Multiple Subjects,44000,1994.08,1.29,3.56
Bilingual Program,Multiple Subjects,44000,1994.09,2.95,1.31
Bilingual Program,Multiple Subjects,44000,1994.11,2.17,3.39
Bilingual Program,Multiple Subjects,44000,1994.12,3.74,1.51
Bilingual Program,Multiple Subjects,44000,1995.01,2.81,1.79
Bilingual Program,Multiple Subjects,44000,1995.02,2.88,1.09
Bilingual Program,Multiple Subjects,44000,1995.03,2.64,3.14
Bilingual Program,Multiple Subjects,44000,1995.04,2.33,2.85
Bilingual Program,Multiple Subjects,44000,1995.05,3.98,3.52
Bilingual Program,Multiple Subjects,44000,1995.06,3.35,2.27
Bilingual Program,Multiple Subjects,44000,1995.07,2.87,3.68
Bilingual Program,Multiple Subjects,44000,1995.08,2.68,1.14
Bilingual Program,Multiple Subjects,44000,1995.09,3.97,2.39
Bilingual Program,Multiple Subjects,44000,1995.11,2.15,1.36
Bilingual Program,Multiple Subjects,44000,1995.12,1.43,3.17
Bilingual Program,Multiple Subjects,44000,1996.01,1.56,2.19
Bilingual Program,Multiple Subjects,44000,1996.02,1.98,1.91
Bilingual Program,Multiple Subjects,44000,1996.03,4,1.77
Bilingual Program,Multiple Subjects,44000,1996.04,3.06,1.35
Bilingual Program,Multiple Subjects,44000,1996.05,3.47,1.51
Bilingual Program,Multiple Subjects,44000,1996.06,1.53,3.38
Bilingual Program,Multiple Subjects,44000,1996.07,3.45,3.69
Bilingual Program,Multiple Subjects,44000,1996.08,2.43,2.44
Bilingual Program,Multiple Subjects,44000,1996.09,2.99,3.69
Bilingual Program,Multiple Subjects,44000,1996.11,3.08,2.63
Bilingual Program,Multiple Subjects,44000,1996.12,1.26,3.4
Bilingual Program,Multiple Subjects,44000,1997.01,2.92,3.57
Bilingual Program,Multiple Subjects,44000,1997.02,2.47,3.97
Bilingual Program,Multiple Subjects,44000,1997.03,2.13,2.17
Bilingual Program,Multiple Subjects,44000,1997.04,3.8,1.25
Bilingual Program,Multiple Subjects,44000,1997.05,3.7,1.36
Bilingual Program,Multiple Subjects,44000,1997.06,1.5,2.15
Bilingual Program,Multiple Subjects,44000,1997.07,3.37,2.07
Bilingual Program,Multiple Subjects,44000,1997.08,2.69,2.95
Bilingual Program,Multiple Subjects,44000,1997.09,3.99,1.8
Bilingual Program,Multiple Subjects,44000,1997.11,3.98,2.53
Bilingual Program,Multiple Subjects,44000,1997.12,1.8,1.3
Bilingual Program,Multiple Subjects,44000,1998.01,3.36,2.76
Bilingual Program,Multiple Subjects,44000,1998.02,2.06,2.91
Bilingual Program,Multiple Subjects,44000,1998.03,2.7,1.12
Bilingual Program,Multiple Subjects,44000,1998.04,2.72,3.02
Bilingual Program,Multiple Subjects,44000,1998.05,2.18,3.13
Bilingual Program,Multiple Subjects,44000,1998.06,2.09,2.6
Bilingual Program,Multiple Subjects,44000,1998.07,2.87,2.78
Bilingual Program,Multiple Subjects,44000,1998.08,2.76,3.22
Bilingual Program,Multiple Subjects,44000,1998.09,3.89,3.01
Bilingual Program,Multiple Subjects,44000,1998.11,2.18,1.52
Bilingual Program,Multiple Subjects,44000,1998.12,1.63,3.28
Bilingual Program,Multiple Subjects,44000,1999.01,1.38,2.29
Bilingual Program,Multiple Subjects,44000,1999.02,3.73,1.87
Bilingual Program,Multiple Subjects,44000,1999.03,3.05,2.98
Bilingual Program,Multiple Subjects,44000,1999.04,3.26,2.73
Bilingual Program,Multiple Subjects,44000,1999.05,1.14,2.48
Bilingual Program,Multiple Subjects,44000,1999.06,3.38,3.06
Bilingual Program,Multiple Subjects,44000,1999.07,3.48,2.14
Bilingual Program,Multiple Subjects,44000,1999.08,1.47,2.5
Bilingual Program,Multiple Subjects,44000,1999.09,1.13,3.48
Bilingual Program,Multiple Subjects,44000,1999.11,2.42,2.83
Bilingual Program,Multiple Subjects,44000,1999.12,3.66,3.33
Bilingual Program,Multiple Subjects,44000,2000.01,3.09,2.17
Bilingual Program,Multiple Subjects,44000,2000.02,2.78,3.51
Bilingual Program,Multiple Subjects,44000,2000.03,3.24,3.41
Bilingual Program,Multiple Subjects,44000,2000.04,2.55,3.25
Bilingual Program,Multiple Subjects,44000,2000.05,3.88,2.82
